sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
5,3150-0012-FTM2,16,4,206.72,206.72,141.97,0,0,0,0,0,0,13,13,8,16,16,11,0,0,0,0,0,0,12,12,5,16,16,7,100,87.5,87.5,50,0,0,0,27951,0,0,0,0,0,35872.272727,35872.272727,0,,0,,,0,,Pet Products,Pet Products
4,B0002XKIXE.missing,81,3,466.91,181.85,78.64,0,0,0,0,0,0,21,10,4,25,10,4,0,0,0,0,0,0,211,102,61,279,138,87,81,92.461538462,34.461538462,21.615384615,0.01,0.0038461538,0.0023076923,19644,0,0,18226,0,0,10214.5,28615.766667,18401.266667,0,0,,0,0,,Pet Products,Pet Products
5,B0002XKIXE.missing,73,4,1367.32,823,361.84,17.23,17.23,17.23,1,1,1,69,45,20,81,49,21,1,1,1,4.35,4.35,4.35,541,354,158,739,499,225,96,88.962962963,47.444444444,23.814814815,0.0111111111,0.007037037,0.002962963,16625,0,0,34759,0,0,6136.3214286,19241.25,13104.928571,0,0,,0,0,,Pet Products,Pet Products
6,B0002XKIXE.missing,62,5,1408.22,995.87,648.28,78.64,78.64,78.64,1,1,1,62,41,27,73,52,33,4,4,4,14.81,14.81,14.81,538,302,162,726,402,213,0,88.92,45.2,23.92,0.0112,0.0064,0.004,8305,0,0,14032,0,0,5333.2,14326.366667,8993.1666667,0,0,,0,0,,Pet Products,Pet Products
7,B0002XKIXE.missing,58,6,1110.55,478.06,197.16,36.73,19.66,19.66,2,1,1,58,24,8,62,26,10,2,1,1,8.72,4.17,4.17,528,200,57,715,271,86,96,67.4,25.15,5.65,0.014,0.0055,0.0025,27100,0,0,14299,0,0,9446.7307692,14470.384615,5023.6538462,0,0,,0,0,,Pet Products,Pet Products
5,B004Y8TZ0U.missing,2,4,163.4,81.7,81.7,0,0,0,0,0,0,4,2,2,4,2,2,0,0,0,0,0,0,5,3,3,7,5,5,0,0,0,0,0,0,0,233967,0,0,161259,0,0,91734.785714,166048.64286,74313.857143,0,0,,0,0,,Pet Products,Pet Products
4,FBA-1094-0001,46,3,486.02,306.96,204.64,0,0,0,0,0,0,31,21,14,38,24,16,0,0,0,0,0,0,145,96,66,194,133,96,60,32.857142857,20.928571429,13.214285714,0.0057142857,0.0042857143,0.0028571429,7412,0,0,15097,0,0,5135.6666667,12127.466667,6991.8,0,0,,0,0,,Pet Products,Pet Products
5,FBA-1094-0001,98,4,588.35,0,0,0,0,0,0,0,0,37,0,0,46,0,0,0,0,0,0,0,0,141,0,0,168,0,0,50,45.25,0,0,0.0058333333,0,0,10985,0,0,10695,0,0,4871.9285714,11405.714286,6533.7857143,0,0,,0,0,,Pet Products,Pet Products
6,FBA-1094-0001,121,5,1299.29,1079.47,691.57,12.93,0,0,1,0,0,76,61,35,98,81,51,1,0,0,6.25,0,0,238,189,87,295,237,114,0,44.2,33.4,12.85,0.007,0.0065,0.003,7630,0,0,10979,0,0,4239.6,10123.666667,5884.0666667,0,0,,0,0,,Pet Products,Pet Products
7,FBA-1094-0001,77,6,1673.77,550.62,304.29,85.38,28.98,28.98,2,1,1,92,29,17,121,38,21,6,2,2,38.18,20,20,285,99,65,355,124,80,0,30.904761905,9.0476190476,0,0.0066666667,0.0023809524,0.0014285714,12798,0,0,7227,0,0,9439.8846154,13050.615385,3610.7307692,0,0,,0,0,,Pet Products,Pet Products
4,FBA-1094-0002,81,3,2936.77,1901.09,956.84,0,0,0,0,0,0,168,102,53,233,151,76,0,0,0,0,0,0,518,313,162,690,425,232,64,51.607142857,25.357142857,12.892857143,0.0107142857,0.0060714286,0.0032142857,4537,0,0,4666,0,0,2234.1666667,5675.1,3440.9333333,0,0,,0,0,,Pet Products,Pet Products
5,FBA-1094-0002,477,4,1019.79,931.66,868.71,0,0,0,0,0,0,73,67,62,81,74,69,0,0,0,0,0,0,335,222,152,460,299,215,74,22.875,22.875,22.5625,0.011875,0.0075,0.005,4032,0,0,4425,0,0,2177.3571429,4771.2142857,2593.8571429,0,0,,0,0,,Pet Products,Pet Products
6,FBA-1094-0002,182,5,6005.43,2215.84,415.47,0,0,0,0,0,0,339,111,17,477,176,33,0,0,0,0,0,0,596,241,58,780,318,75,35,81.703703704,26.407407407,5.1111111111,0.0122222222,0.0051851852,0.0014814815,9491,0,0,4304,0,0,2448.6,4932.1,2483.5,0,0,,0,0,,Pet Products,Pet Products
