variable,min,max,zero_value,missing,transformation,keep,notes,r_var,sas_var,lazy,sas
monthly_sales,15,15535,0,676,0,y,,monthly_sales_trfm,tmonthly_sales,"DDD$monthly_sales_trfm = with(DDD, trfm(monthly_sales, missing = 676, min = 15, max = 15535, zero_value = 0, transformation = 0))","%trfm(monthly_sales, 676,15, 15535, 0, 0)"
l15day_sales,0,8279,0,345,0,y,,l15day_sales_trfm,tl15day_sales,"DDD$l15day_sales_trfm = with(DDD, trfm(l15day_sales, missing = 345, min = 0, max = 8279, zero_value = 0, transformation = 0))","%trfm(l15day_sales, 345,0, 8279, 0, 0)"
l7day_sales,19,4025,0,161,2,y,,l7day_sales_trfm,tl7day_sales,"DDD$l7day_sales_trfm = with(DDD, trfm(l7day_sales, missing = 161, min = 19, max = 4025, zero_value = 0, transformation = 2))","%trfm(l7day_sales, 161,19, 4025, 0, 2)"
monthly_sales_bb,0,189,0,6,2,y,,monthly_sales_bb_trfm,tmonthly_sales_bb,"DDD$monthly_sales_bb_trfm = with(DDD, trfm(monthly_sales_bb, missing = 6, min = 0, max = 189, zero_value = 0, transformation = 2))","%trfm(monthly_sales_bb, 6,0, 189, 0, 2)"
l15day_sales_bb,0,103,0,3,2,y,,l15day_sales_bb_trfm,tl15day_sales_bb,"DDD$l15day_sales_bb_trfm = with(DDD, trfm(l15day_sales_bb, missing = 3, min = 0, max = 103, zero_value = 0, transformation = 2))","%trfm(l15day_sales_bb, 3,0, 103, 0, 2)"
l7day_sales_bb,no good,,,,,,,,,,
monthly_orders_bb,0,11,0,0,0,y,,monthly_orders_bb_trfm,tmonthly_orders_bb,"DDD$monthly_orders_bb_trfm = with(DDD, trfm(monthly_orders_bb, missing = 0, min = 0, max = 11, zero_value = 0, transformation = 0))","%trfm(monthly_orders_bb, 0,0, 11, 0, 0)"
l15day_orders_bb,0,4,0,0,2,y,used maximum decile,l15day_orders_bb_trfm,tl15day_orders_bb,"DDD$l15day_orders_bb_trfm = with(DDD, trfm(l15day_orders_bb, missing = 0, min = 0, max = 4, zero_value = 0, transformation = 2))","%trfm(l15day_orders_bb, 0,0, 4, 0, 2)"
l7day_orders_bb,0,4,0,0,0,y,used maximum decile,l7day_orders_bb_trfm,tl7day_orders_bb,"DDD$l7day_orders_bb_trfm = with(DDD, trfm(l7day_orders_bb, missing = 0, min = 0, max = 4, zero_value = 0, transformation = 0))","%trfm(l7day_orders_bb, 0,0, 4, 0, 0)"
monthly_orders,1,915,0,37,0,y,,monthly_orders_trfm,tmonthly_orders,"DDD$monthly_orders_trfm = with(DDD, trfm(monthly_orders, missing = 37, min = 1, max = 915, zero_value = 0, transformation = 0))","%trfm(monthly_orders, 37,1, 915, 0, 0)"
